Q,avg_landfalling_minomega
10.365633770403269,-0.9802732295903375
10.365633770403269,-0.9661366907843469
10.365633770403269,-0.9520001519783563
10.365633770403269,-0.9378636131723658
10.365633770403269,-0.9237270743663751
10.365633770403269,-0.9095905355603846
10.365633770403269,-0.895453996754394
10.365633770403269,-0.8813174579484034
10.365633770403269,-0.8671809191424128
10.365633770403269,-0.8530443803364223
10.365633770403269,-0.8389078415304316
10.365633770403269,-0.8247713027244411
10.365633770403269,-0.8106347639184506
10.365633770403269,-0.7964982251124599
10.365633770403269,-0.7823616863064693
10.365633770403269,-0.7682251475004788
10.365633770403269,-0.7540886086944882
10.365633770403269,-0.7399520698884976
10.365633770403269,-0.725815531082507
10.365633770403269,-0.7116789922765164
10.365633770403269,-0.6975424534705259
10.365633770403269,-0.6834059146645353
10.365633770403269,-0.6692693758585446
10.365633770403269,-0.6551328370525541
10.365633770403269,-0.6409962982465636
10.365633770403269,-0.6268597594405729
10.365633770403269,-0.6127232206345824
10.365633770403269,-0.5985866818285919
10.365633770403269,-0.5844501430226012
10.365633770403269,-0.5703136042166106
10.365633770403269,-0.5561770654106201
10.365633770403269,-0.5420405266046295
10.365633770403269,-0.5279039877986389
10.365633770403269,-0.5137674489926483
10.365633770403269,-0.49963091018665773
10.365633770403269,-0.48549437138066714
10.365633770403269,-0.47135783257467656
10.365633770403269,-0.45722129376868603
10.365633770403269,-0.4430847549626954
10.365633770403269,-0.42894821615670486
10.365633770403269,-0.4148116773507142
10.365633770403269,-0.4006751385447237
10.365633770403269,-0.38653859973873306
10.365633770403269,-0.37240206093274253
10.365633770403269,-0.3582655221267519
10.365633770403269,-0.34412898332076136
10.365633770403269,-0.3299924445147707
10.365633770403269,-0.3158559057087802
10.365633770403269,-0.30171936690278967
10.365633770403269,-0.287582828096799
