Q,avg_landfalling_minomega
127927.84119950651,-1.038074135509988
9634.985124238707,-1.023431766790819
18894.222081743155,-1.0087893980716498
46114.126046927944,-0.9941470293524807
71652.22729410575,-0.9795046606333115
70041.1977501037,-0.9648622919141424
19105.588543214304,-0.9502199231949733
11774.613417835713,-0.9355775544758042
19180.891222310554,-0.920935185756635
19180.891222310554,-0.906292817037466
19180.891222310554,-0.8916504483182968
19180.891222310554,-0.8770080795991277
19180.891222310554,-0.8623657108799585
19180.862094249293,-0.8477233421607895
19180.862094249293,-0.8330809734416204
19180.862094249293,-0.8184386047224512
19180.862094249293,-0.8037962360032821
19180.862094249293,-0.789153867284113
3329.342870896842,-0.7745114985649438
2470.0273836259553,-0.7598691298457747
2470.0273836259553,-0.7452267611266056
2470.0273836259553,-0.7305843924074364
2470.0273836259553,-0.7159420236882673
2470.0273836259553,-0.7012996549690982
2470.0273836259553,-0.68665728624992906
2470.0273836259553,-0.6720149175307599
2470.0273836259553,-0.6573725488115908
2470.0273836259553,-0.6427301800924217
2470.0273836259553,-0.6280878113732526
2470.0273836259553,-0.6134454426540834
2470.0273836259553,-0.5988030739349144
2470.0273836259553,-0.5841607052157451
2470.0273836259553,-0.5695183364965761
2470.0273836259553,-0.5548759677774069
2470.0273836259553,-0.5402335990582379
2470.0273836259553,-0.5255912303390687
2470.0273836259553,-0.5109488616198996
2470.0273836259553,-0.4963064929007305
2470.0273836259553,-0.48166412418156135
2470.0273836259553,-0.4670217554623922
2470.0273836259553,-0.4523793867432231
2470.0273836259553,-0.43773701802405396
2470.0273836259553,-0.42309464930488483
2470.0273836259553,-0.4084522805857157
2470.0273836259553,-0.39380991186654657
2470.0273836259553,-0.37916754314737744
2412.482585825828,-0.3645251744282083
2338.085606035779,-0.3498828057090392
2338.085606035779,-0.33524043698987005
2338.085606035779,-0.3205980682707009
